time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
131	52.64504723438097	11.89	442.91	447.62	3.59	3.88	7.93	306.38	292.97	4.38	8.67	10.05	29.19	5.08	4.97	2.15	21.62	35.28	115.05	2.69	1.98	26.59	33.98	24.61	27.59	8.17	3.60	153.42	0.00	3.91	Infinity	71.61	66.38	7.30
132	72.13665432144153	19.21	375.45	431.13	6.51	3.96	39.22	253.68	279.39	10.14	7.29	10.06	69.67	5.90	5.23	11.41	8.14	33.03	557.37	4.63	2.23	51.79	28.32	23.91	15.58	7.63	3.53	147.34	0.00	3.70	Infinity	65.17	66.09	1.41
133	87.66364105345525	25.30	346.49	415.15	6.54	4.04	38.27	232.90	266.18	14.29	7.70	10.07	56.24	6.85	5.50	19.71	3.32	30.88	1510.77	4.65	2.52	45.78	27.58	23.22	15.79	7.50	3.46	147.85	0.00	3.51	Infinity	59.20	65.77	11.10
134	69.91353727095711	20.12	347.57	399.72	4.50	4.11	8.54	226.53	253.38	11.85	15.24	10.08	62.11	4.99	5.78	15.76	8.22	28.83	456.58	4.75	2.85	39.94	28.79	22.55	21.68	5.70	3.38	111.52	0.00	3.33	Infinity	63.10	65.43	3.70
135	81.78890393073044	23.79	343.75	384.90	5.62	4.19	25.46	209.81	241.02	14.88	18.25	10.09	81.97	5.24	6.08	16.11	9.87	26.89	313.89	7.81	3.22	58.73	29.86	21.88	26.72	9.05	3.31	174.01	0.00	3.16	Infinity	66.74	65.08	2.49
136	52.201120217915964	15.28	341.73	370.72	5.73	4.26	25.67	209.45	229.12	9.39	9.77	10.10	6.10	7.46	6.39	14.35	17.25	25.05	82.32	7.86	3.64	53.70	30.82	21.24	31.09	6.74	3.23	142.86	0.00	3.00	Infinity	63.16	64.70	2.45
137	46.17270004022173	14.10	327.54	357.21	4.67	4.33	7.23	202.79	217.70	7.35	9.59	10.10	9.78	8.43	6.71	20.33	18.27	23.31	50.25	8.86	4.11	53.55	27.32	20.60	24.59	6.53	3.15	141.72	1.03	2.85	351.70	57.32	64.32	12.22
138	36.70232704634915	11.75	312.49	344.37	4.61	4.40	4.58	199.36	206.76	3.71	9.03	10.11	21.92	7.27	7.05	3.00	11.91	21.68	149.40	8.83	4.65	47.36	23.17	19.99	13.74	0.59	3.08	1147.55	1.83	2.72	97.22	56.65	63.93	12.86
139	56.752305778091916	20.29	279.77	332.21	5.69	4.46	21.96	175.84	196.30	11.63	12.03	10.12	27.92	9.16	7.41	28.40	7.23	20.15	354.77	8.25	5.25	38.62	18.46	19.39	5.04	0.45	3.00	1571.55	1.23	2.59	214.99	74.18	63.53	19.48
140	46.56044827067895	17.66	263.64	320.74	5.75	4.53	21.61	174.73	186.31	6.63	12.56	10.13	34.00	9.33	7.79	24.66	5.90	18.72	430.78	9.35	5.94	38.80	8.94	18.81	110.47	0.78	2.92	770.68	2.42	2.47	4.16	64.62	63.13	3.13
141	32.33909720500253	11.54	280.34	311.00	4.84	4.51	6.82	179.69	178.08	0.90	8.37	10.07	35.81	9.75	7.98	26.88	12.77	17.39	71.76	9.43	6.40	34.21	13.62	19.06	40.00	1.47	2.90	274.67	7.20	2.42	129.90	69.80	62.19	14.80
142	49.456378110569865	16.61	297.71	302.62	5.01	4.44	11.61	188.91	171.21	9.37	11.55	9.97	24.01	8.68	8.04	10.91	16.04	16.15	1.30	7.38	6.68	10.16	16.49	19.91	20.77	0.00	2.95	Infinity	12.16	2.42	156.70	72.89	60.84	22.43
143	28.48127186134276	10.72	265.67	295.32	4.94	4.32	12.66	170.56	165.43	3.01	14.42	9.83	55.97	8.48	7.99	8.49	10.82	15.00	76.60	7.32	6.82	7.25	15.17	21.22	39.82	1.91	3.06	168.49	6.86	2.46	125.62	60.58	59.20	3.10
144	42.61505915950124	16.47	258.69	288.93	1.75	4.18	142.03	175.31	160.48	8.46	12.18	9.66	36.34	9.78	7.86	29.28	14.56	13.93	8.55	5.09	6.84	36.48	12.21	22.88	87.46	1.63	3.22	274.12	5.94	2.52	112.79	54.52	57.36	7.05
145	44.58023520293854	19.86	224.42	283.34	1.69	4.02	140.91	153.67	156.19	1.64	13.55	9.47	52.91	6.59	7.66	24.10	6.53	12.95	194.57	5.05	6.78	36.41	8.34	24.87	198.30	0.00	3.44	Infinity	5.16	2.60	97.12	51.47	55.38	10.31
146	45.68840591227495	21.40	213.50	278.47	1.69	3.84	129.47	146.11	152.42	4.32	9.97	9.27	12.47	6.61	7.41	18.09	4.73	12.03	305.81	5.05	6.64	33.46	9.44	27.14	187.60	4.22	3.71	33.90	5.26	2.69	95.48	47.27	53.32	17.36
