date,weekday,District,vmt.sum,vmt.predict,typical_vmt_diff
9/22/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
9/23/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
9/24/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
9/25/2020,Friday,MnDOT Statewide,NA,NA,2.5
9/26/2020,Saturday,MnDOT Statewide,NA,NA,4.7
9/27/2020,Sunday,MnDOT Statewide,NA,NA,2.6
9/28/2020,Monday,MnDOT Statewide,NA,NA,2.5
9/29/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
9/30/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
10/1/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
10/2/2020,Friday,MnDOT Statewide,NA,NA,2.5
10/3/2020,Saturday,MnDOT Statewide,NA,NA,4.7
10/4/2020,Sunday,MnDOT Statewide,NA,NA,2.6
10/5/2020,Monday,MnDOT Statewide,NA,NA,2.5
10/6/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
10/7/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
10/8/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
10/9/2020,Friday,MnDOT Statewide,NA,NA,2.5
10/10/2020,Saturday,MnDOT Statewide,NA,NA,4.7
10/11/2020,Sunday,MnDOT Statewide,NA,NA,2.6
10/12/2020,Monday,MnDOT Statewide,NA,NA,2.5
10/13/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
