time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
127	46.549957841469414	9.09	512.12	555.07	3.93	3.51	11.41	367.67	354.48	3.59	0.00	11.15	Infinity	3.97	3.71	6.50	74.81	65.80	26.49	3.49	3.19	17.08	36.94	35.50	3.90	0.85	0.62	27.69	0.00	3.15	Infinity	66.57	73.97	11.70
128	54.98881322267793	10.30	534.08	543.04	4.03	3.53	13.33	368.23	347.30	5.68	0.81	10.55	3531.15	4.26	4.00	6.11	66.41	62.66	12.43	3.62	3.38	12.79	46.15	35.26	23.59	1.17	0.67	43.35	2.62	2.90	18.56	80.67	72.78	10.29
129	39.18138394091953	7.87	497.75	530.71	3.90	3.55	9.57	343.18	339.93	0.95	8.62	9.97	46.09	4.16	4.31	3.40	46.56	59.44	60.85	1.42	3.59	300.46	42.91	35.00	18.43	2.07	0.72	65.41	1.45	2.68	142.23	80.09	71.53	11.25
130	45.58070842812315	9.93	458.87	518.27	3.87	3.57	8.30	318.01	332.45	4.54	14.10	9.40	98.09	5.10	4.64	9.12	39.13	56.21	96.04	3.35	3.81	26.79	37.69	34.72	7.88	3.00	0.77	74.37	0.00	2.47	Infinity	70.69	70.23	0.69
131	63.446232345272115	14.32	442.91	505.82	3.86	3.59	7.59	306.38	324.92	6.05	13.90	8.84	106.99	5.08	4.99	1.82	26.12	53.01	226.55	5.31	4.04	47.23	33.98	34.43	1.31	2.98	0.82	72.36	0.00	2.28	Infinity	75.35	68.91	8.99
132	70.15465422668501	18.69	375.45	493.49	6.51	3.60	44.66	340.39	317.40	9.07	3.98	8.31	108.91	5.94	5.37	9.75	15.65	49.86	766.10	4.63	4.28	7.63	33.50	34.12	2.18	2.78	0.88	68.38	0.00	2.10	Infinity	67.42	67.57	0.23
133	60.66415937884968	17.51	346.49	481.35	6.54	3.62	44.65	312.51	309.91	1.12	4.20	7.79	85.41	6.90	5.77	16.39	6.39	46.80	2215.71	4.65	4.54	2.48	32.62	33.81	4.30	2.73	0.94	65.72	0.00	1.94	Infinity	61.25	66.23	8.41
134	36.44716432743481	10.49	347.57	469.47	4.50	3.63	19.18	303.96	302.50	0.65	8.32	7.30	12.20	5.03	6.21	23.64	15.81	43.85	621.12	4.75	4.81	1.38	34.06	33.49	1.95	2.08	1.00	52.02	0.00	1.78	Infinity	65.28	64.88	0.62
135	56.3938482302868	16.41	343.75	457.88	5.62	3.65	35.04	281.53	295.18	6.50	9.96	6.84	31.35	5.27	6.68	26.85	18.99	41.01	406.23	7.81	5.11	34.62	35.33	33.17	7.21	3.30	1.06	67.89	0.00	1.64	Infinity	69.04	63.55	8.23
136	27.502245452340564	8.05	341.73	446.62	5.73	3.66	36.06	281.05	287.96	3.30	5.33	6.40	19.94	7.51	7.18	4.46	33.18	38.29	53.97	7.86	5.41	31.16	36.46	32.85	11.69	2.46	1.12	54.31	0.00	1.51	Infinity	65.33	62.22	4.92
